Priority,AssignedToID,ProjectCode,SubCategory,HoursEstimate,HoursActual
1,58,PC2,Enhancement,14.0,1.75
1,42,PC2,Enhancement,7.0,7.0
5,42,PC2,Bug,0.7,0.7
10,13,PC2,Bug,3.5,3.5
1,13,PC9,Enhancement,7.0,7.0
5,58,PC2,Enhancement,7.0,7.0
6,13,PC2,Enhancement,1.4,1.4
5,26,PC9,Enhancement,1.75,1.75
2,58,PC2,Enhancement,14.0,1.75
1,13,PC2,Enhancement,14.0,14.0
3,42,PC2,Enhancement,14.0,17.5
1,58,PC2,Bug,14.0,7.0
1,50,PC2,Bug,7.0,7.0
8,26,PC11,Bug,1.75,0.35
2,26,PC2,Enhancement,70.0,70.0
3,13,PC2,Bug,7.0,3.5
3,26,PC2,Enhancement,1.75,0.7
5,58,PC17,Bug,7.0,7.0
2,13,PC2,Bug,7.0,7.0
2,26,PC9,Bug,1.75,1.75
2,26,PC9,Bug,3.5,0.7
3,26,PC2,Bug,1.75,1.75
2,26,PC2,Enhancement,10.5,12.25
1,26,PC2,Enhancement,0.7,0.7
1,50,PC2,Enhancement,28.0,105.0
5,42,PC2,Bug,14.0,14.0
3,42,PC2,Enhancement,0.7,0.7
1,26,PC2,Enhancement,14.0,28.0
2,26,PC2,Enhancement,3.5,1.75
5,58,PC2,Enhancement,7.0,7.0
5,26,PC9,Enhancement,1.75,3.5
3,42,PC11,Enhancement,2.1,2.1
8,26,PC9,Bug,1.4,1.4
5,58,PC2,Enhancement,7.0,7.0
10,1,PC9,Enhancement,7.0,7.0
2,26,PC2,Enhancement,28.0,28.0
2,42,PC2,Bug,7.0,7.0
1,58,PC2,Bug,3.5,3.5
1,42,PC2,Bug,2.1,2.1
1,26,PC2,Enhancement,7.0,7.0
1,26,PC2,Bug,1.75,1.75
5,58,PC17,Enhancement,7.0,7.0
5,26,PC2,Bug,7.0,1.75
5,1,PC9,Enhancement,7.0,7.0
2,58,PC2,Bug,7.0,1.75
1,58,PC2,Bug,7.0,3.5
2,50,PC2,Enhancement,7.0,7.0
2,42,PC2,Enhancement,7.0,7.0
4,42,PC2,Bug,14.0,5.25
1,42,PC2,Bug,7.0,1.05
4,42,PC2,Bug,7.0,0.7
3,26,PC2,Bug,7.0,1.75
2,26,PC2,Bug,0.7,0.7
5,26,PC2,Bug,3.5,0.7
5,58,PC2,Enhancement,7.0,7.0
1,26,PC2,Bug,1.75,1.75
3,26,PC9,Enhancement,7.0,21.0
2,26,PC2,Enhancement,7.0,21.0
2,26,PC2,Enhancement,3.5,1.4
1,58,PC2,Bug,7.0,1.75
10,1,PC9,Enhancement,7.0,7.0
3,26,PC9,Enhancement,1.4,0.7
4,42,PC9,Enhancement,7.0,7.0
9,42,PC2,Enhancement,7.0,2.8
1,50,PC9,Enhancement,14.0,14.0
1,42,PC2,Enhancement,70.0,70.0
3,42,PC2,Bug,14.0,3.5
5,42,PC2,Enhancement,14.0,7.0
1,42,PC2,Enhancement,14.0,14.0
1,58,PC2,Enhancement,7.0,7.0
2,42,PC2,Enhancement,14.0,14.0
1,58,PC2,Bug,35.0,42.0
1,58,PC2,Bug,35.0,21.0
1,58,PC2,Enhancement,3.5,7.0
1,58,PC2,Enhancement,7.0,1.75
5,58,PC2,Enhancement,14.0,3.5
1,26,PC2,Enhancement,1.75,1.75
2,26,PC9,Enhancement,1.75,1.75
8,58,PC2,Enhancement,7.0,7.0
3,26,PC2,Bug,1.75,0.7
4,26,PC2,Enhancement,0.7,0.7
4,42,PC2,Enhancement,10.5,7.0
5,58,PC2,Bug,3.5,1.75
2,26,PC2,Bug,1.75,5.25
3,26,PC2,Enhancement,0.7,0.7
5,42,PC9,Enhancement,14.0,10.5
1,42,PC2,Enhancement,1.75,3.5
5,26,PC2,Enhancement,7.0,42.0
7,26,PC2,Bug,1.75,0.7
2,26,PC9,Bug,1.75,5.25
5,1,PC2,Enhancement,7.0,7.0
1,26,PC2,Enhancement,7.0,7.0
4,42,PC2,Bug,3.5,3.5
3,26,PC9,Bug,1.75,0.7
2,42,PC2,Bug,14.0,7.0
2,42,PC9,Enhancement,7.0,3.5
3,26,PC9,Bug,0.7,0.7
4,24,PC17,Enhancement,21.0,3.5
1,50,PC9,Bug,7.0,7.0
1,50,PC9,Bug,14.0,7.0
1,50,PC9,Enhancement,3.5,3.5
1,50,PC9,Enhancement,14.0,7.0
4,50,PC9,Bug,7.0,1.75
3,42,PC9,Enhancement,7.0,7.0
5,58,PC2,Enhancement,3.5,1.75
2,58,PC2,Bug,7.0,3.5
6,42,PC2,Enhancement,14.0,10.5
4,24,PC17,Enhancement,14.0,21.0
3,42,PC2,Bug,3.5,2.8
2,42,PC2,Enhancement,14.0,7.0
2,42,PC2,Enhancement,7.0,3.5
3,13,PC2,Bug,7.0,1.4
5,26,PC2,Enhancement,0.7,0.7
1,58,PC2,Bug,1.75,1.75
1,50,PC9,Enhancement,7.0,7.0
3,13,PC2,Bug,0.7,0.25
8,58,PC9,Enhancement,7.0,1.75
1,26,PC2,Bug,1.75,1.75
7,26,PC9,Bug,3.5,0.7
2,26,PC2,Bug,7.0,1.75
5,1,PC11,Bug,7.0,7.0
2,42,PC2,Bug,1.75,3.5
1,26,PC2,Enhancement,3.5,3.5
5,26,PC9,Bug,0.7,0.5
4,24,PC17,Enhancement,21.0,28.0
2,42,PC2,Bug,1.4,1.4
1,26,PC2,Bug,7.0,28.0
1,26,PC2,Bug,1.75,0.7
1,58,PC2,Bug,7.0,1.75
2,26,PC2,Enhancement,3.5,0.7
2,58,PC2,Bug,7.0,1.75
4,24,PC17,Enhancement,7.0,7.0
1,58,PC2,Enhancement,7.0,3.5
1,58,PC2,Bug,7.0,1.75
1,58,PC2,Enhancement,35.0,28.0
3,26,PC2,Bug,3.5,0.7
5,1,PC2,Bug,7.0,7.0
1,58,PC2,Bug,35.0,35.0
1,1,PC2,Enhancement,7.0,7.0
3,1,PC2,Enhancement,7.0,7.0
1,58,PC2,Bug,7.0,7.0
1,26,PC2,Enhancement,1.75,0.7
4,22,PC2,Enhancement,14.0,2.0
2,26,PC2,Enhancement,1.75,5.25
6,24,PC17,Enhancement,3.5,1.75
1,26,PC2,Bug,3.5,5.25
6,65,PC2,Enhancement,21.0,6.0
5,1,PC2,Enhancement,21.0,7.0
5,1,PC2,Enhancement,7.0,7.0
10,1,PC2,Enhancement,7.0,7.0
1,26,PC2,Bug,3.5,0.7
1,26,PC2,Bug,1.75,1.75
1,26,PC2,Bug,1.75,0.7
5,1,PC2,Enhancement,7.0,7.0
5,1,PC2,Enhancement,7.0,7.0
4,42,PC2,Bug,7.0,3.5
4,24,PC17,Enhancement,14.0,7.0
1,26,PC2,Bug,1.75,0.7
1,26,PC2,Enhancement,3.5,3.5
2,26,PC9,Enhancement,1.75,1.75
2,26,PC2,Bug,3.5,1.75
3,42,PC11,Enhancement,7.0,7.0
5,42,PC2,Enhancement,7.0,3.5
7,26,PC2,Bug,1.75,1.75
7,26,PC2,Enhancement,7.0,3.5
2,42,PC2,Bug,0.7,0.7
2,26,PC2,Enhancement,1.75,3.5
1,58,PC2,Bug,0.7,0.7
2,58,PC2,Enhancement,14.0,14.0
2,13,PC2,Enhancement,7.0,7.0
3,26,PC2,Bug,1.75,3.5
1,42,PC2,Enhancement,1.75,1.4
3,58,PC2,Enhancement,35.0,14.0
5,1,PC2,Bug,7.0,7.0
3,26,PC2,Enhancement,3.5,0.7
5,26,PC2,Enhancement,3.5,0.7
4,26,PC2,Enhancement,3.5,0.7
1,26,PC2,Bug,1.75,0.7
3,50,PC9,Enhancement,7.0,3.5
3,42,PC2,Enhancement,3.5,1.75
3,42,PC2,Enhancement,3.5,1.75
3,26,PC2,Bug,1.75,0.7
1,26,PC2,Bug,0.7,0.7
2,13,PC2,Enhancement,7.0,0.7
1,26,PC2,Enhancement,1.75,0.7
5,1,PC2,Bug,7.0,7.0
5,1,PC2,Bug,7.0,1.4
3,42,PC2,Enhancement,3.5,3.5
1,13,PC2,Bug,7.0,0.7
3,24,PC17,Enhancement,14.0,14.0
1,26,PC17,Enhancement,14.0,21.0
5,50,PC9,Bug,0.7,3.5
2,50,PC9,Bug,7.0,1.75
10,1,PC9,Enhancement,7.0,7.0
2,13,PC2,Third Party,3.5,0.7
1,13,PC2,Enhancement,3.5,0.7
3,50,PC9,Enhancement,7.0,1.75
2,42,PC9,Bug,7.0,3.5
1,42,PC2,Bug,3.5,3.5
2,42,PC2,Bug,0.35,0.35
2,1,PC2,Bug,7.0,1.4
1,26,PC2,Bug,7.0,7.0
2,13,PC2,Bug,7.0,0.5
5,1,PC2,Enhancement,0.7,0.7
5,1,PC2,Enhancement,10.5,10.5
5,1,PC2,Enhancement,0.7,0.7
5,1,PC2,Enhancement,7.0,7.0
1,1,PC2,Third Party,7.0,7.0
5,1,PC2,Enhancement,2.1,1.4
2,42,PC9,Bug,1.75,1.75
3,1,PC2,Enhancement,10.5,7.0
5,1,PC2,Enhancement,7.0,3.5
5,1,PC17,Bug,2.1,2.1
5,1,PC2,Bug,2.1,2.1
5,1,PC17,Enhancement,2.1,2.1
5,1,PC2,Enhancement,7.0,7.0
5,1,PC2,Enhancement,7.0,7.0
1,13,PC2,Enhancement,7.0,0.7
1,42,PC9,Enhancement,7.0,1.4
2,26,PC17,Enhancement,28.0,42.0
2,42,PC9,Enhancement,1.75,1.4
5,50,PC9,Bug,7.0,7.0
5,50,PC9,Bug,7.0,7.0
4,50,PC9,Bug,7.0,0.7
2,50,PC9,Bug,7.0,3.5
1,50,PC9,Bug,7.0,1.75
2,42,PC9,Enhancement,3.5,3.5
5,42,PC9,Bug,7.0,0.7
4,24,PC17,Enhancement,7.0,3.5
5,26,PC9,Enhancement,7.0,9.0
2,26,PC17,Enhancement,7.0,21.0
5,42,PC2,Bug,1.4,3.5
5,1,PC2,Enhancement,3.5,3.5
5,1,PC2,Enhancement,7.0,7.0
4,24,PC17,Enhancement,7.0,7.0
1,13,PC2,Bug,7.0,7.0
1,26,PC2,Enhancement,35.0,1.5
10,42,PC2,Bug,1.4,1.0
1,13,PC2,Bug,0.14,0.14
2,42,PC2,Bug,7.0,5.6
4,42,PC2,Bug,1.4,0.7
2,42,PC2,Bug,3.5,1.4
4,42,PC2,Bug,7.0,0.7
2,13,PC2,Bug,1.4,1.4
1,42,PC2,Enhancement,3.5,4.9
2,13,PC2,Enhancement,3.5,3.5
1,58,PC2,Bug,3.5,3.5
